post_href,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor,city_and_added_time
/items/4836536,True,True,True,,240 000AZN,İnşaatçılar m.,2 otaqlı,90 m²,11/17 mərtəbə,"Bakı, bugün 23:48"
/items/4763126,True,True,True,,163 000AZN,Biləcəri q.,3 otaqlı,90 m²,3/9 mərtəbə,"Bakı, bugün 23:11"
/items/4836534,False,False,True,,235 000AZN,28 May m.,2 otaqlı,71 m²,9/18 mərtəbə,"Bakı, bugün 23:10"
/items/4836533,True,False,True,,129 000AZN,Abşeron r.,4 otaqlı,130 m²,14/16 mərtəbə,"Bakı, bugün 23:09"
/items/4776749,True,True,True,Agentlik,325 000AZN,Nizami m.,3 otaqlı,115 m²,5/15 mərtəbə,"Bakı, bugün 23:06"
/items/4792563,False,False,True,,239 000AZN,Nəsimi r.,2 otaqlı,65 m²,14/18 mərtəbə,"Bakı, bugün 23:04"
/items/4836526,True,False,True,,190 000AZN,Qara Qarayev m.,3 otaqlı,76 m²,4/4 mərtəbə,"Bakı, dünən 23:04"
/items/4785563,True,True,True,Agentlik,145 000AZN,Həzi Aslanov m.,2 otaqlı,56 m²,12/19 mərtəbə,"Bakı, bugün 23:02"
/items/4825276,True,False,True,,106 000AZN,Əhmədli q.,2 otaqlı,60 m²,1/9 mərtəbə,"Bakı, bugün 23:00"
/items/4640471,True,True,True,,157 000AZN,Nəriman Nərimanov m.,2 otaqlı,57 m²,5/5 mərtəbə,"Bakı, bugün 22:59"
/items/4836523,True,False,True,,115 000AZN,Neftçilər m.,3 otaqlı,55 m²,2/5 mərtəbə,"Bakı, bugün 22:58"
/items/4819907,False,False,True,,85 500AZN,Masazır q.,3 otaqlı,82 m²,6/7 mərtəbə,"Bakı, bugün 22:57"
/items/4836519,True,False,True,,207 000AZN,20 Yanvar m.,5 otaqlı,120 m²,3/9 mərtəbə,"Bakı, bugün 22:56"
/items/4765846,False,False,True,,115 000AZN,Əhmədli m.,2 otaqlı,52.3 m²,4/7 mərtəbə,"Bakı, bugün 22:56"
/items/4369020,False,False,True,Agentlik,450 000AZN,Nardaran q.,2 otaqlı,80 m²,1/4 mərtəbə,"Bakı, bugün 22:55"
/items/4816242,True,False,True,,57 000AZN,Masazır q.,2 otaqlı,42 m²,5/6 mərtəbə,"Bakı, bugün 22:55"
/items/3220065,False,False,False,Agentlik,750 000AZN,Nardaran q.,4 otaqlı,180 m²,2/3 mərtəbə,"Bakı, bugün 22:54"
/items/4698761,False,False,True,Agentlik,275 000AZN,Nardaran q.,1 otaqlı,52 m²,2/2 mərtəbə,"Bakı, bugün 22:54"
/items/4558588,False,False,True,Agentlik,272 000AZN,Nardaran q.,1 otaqlı,46 m²,4/5 mərtəbə,"Bakı, bugün 22:53"
/items/4321180,True,False,True,,290 000AZN,8 Noyabr m.,2 otaqlı,98 m²,4/27 mərtəbə,"Bakı, bugün 22:52"
/items/4799945,True,True,True,,166 000AZN,Həzi Aslanov m.,3 otaqlı,91 m²,18/20 mərtəbə,"Bakı, bugün 22:52"
/items/3824155,True,False,False,,418 684AZN,Elmlər Akademiyası m.,2 otaqlı,110.2 m²,7/18 mərtəbə,"Bakı, bugün 22:48"
/items/4727776,True,True,True,,83 000AZN,Yeni Günəşli q.,2 otaqlı,51 m²,8/10 mərtəbə,"Bakı, bugün 22:49"
/items/3824160,True,False,False,,597 854AZN,Elmlər Akademiyası m.,4 otaqlı,157.3 m²,10/18 mərtəbə,"Bakı, bugün 22:47"
/items/4635915,True,False,False,,469 870AZN,Elmlər Akademiyası m.,3 otaqlı,123.6 m²,14/18 mərtəbə,"Bakı, bugün 22:41"
/items/4836512,True,False,True,,105 000AZN,Xalqlar Dostluğu m.,2 otaqlı,45 m²,5/5 mərtəbə,"Bakı, bugün 22:40"
/items/4833958,True,False,True,,155 000AZN,Yeni Günəşli q.,4 otaqlı,81 m²,7/9 mərtəbə,"Bakı, bugün 22:40"
/items/3824150,True,False,False,,469 870AZN,Elmlər Akademiyası m.,3 otaqlı,123.7 m²,11/18 mərtəbə,"Bakı, bugün 22:40"
/items/4237623,True,False,False,,543 730AZN,Elmlər Akademiyası m.,2 otaqlı,98.9 m²,15/18 mərtəbə,"Bakı, bugün 22:38"
/items/4836511,True,True,True,Agentlik,264 000AZN,İnşaatçılar m.,3 otaqlı,125.5 m²,6/17 mərtəbə,"Bakı, bugün 22:38"
