post_id,bill_of_sale_available,mortgage_available,repair_available,products_label,price,location,room_count,area,floor_number,total_floors,region,added_time
4777693,False,False,True,default,290000,Azadlıq Prospekti m.,4,190.0,9,9,Bakı,2024-12-14 00:28:00
4806309,False,False,True,default,200000,Həzi Aslanov m.,3,100.0,6,16,Bakı,2024-12-14 00:27:00
4799194,True,True,True,default,139000,Həzi Aslanov m.,2,68.0,13,16,Bakı,2024-12-14 00:27:00
4799141,True,True,True,default,195000,Həzi Aslanov m.,3,90.0,13,16,Bakı,2024-12-14 00:26:00
4777759,True,False,False,default,290000,Qara Qarayev m.,3,125.0,9,16,Bakı,2024-12-14 00:26:00
4800680,True,True,False,default,465000,Elmlər Akademiyası m.,4,185.0,12,18,Bakı,2024-12-14 00:25:00
4834045,True,True,True,Agentlik,250000,28 May m.,2,74.0,6,16,Bakı,2024-12-14 00:25:00
4819830,True,False,True,default,364000,Bakmil m.,3,110.0,11,14,Bakı,2024-12-14 00:25:00
3925062,False,False,True,Agentlik,417000,Nardaran q.,2,73.0,5,8,Bakı,2024-12-14 00:23:00
4836599,True,False,True,Agentlik,344900,Nərimanov r.,3,135.0,14,19,Bakı,2024-12-14 00:30:00
4809089,True,True,True,default,395000,20 Yanvar m.,4,170.0,7,18,Bakı,2024-12-14 00:21:00
4806579,True,True,True,default,273000,Qara Qarayev m.,3,124.0,10,17,Bakı,2024-12-14 00:20:00
4836595,True,True,True,Agentlik,158000,Memar Əcəmi m.,2,58.0,7,13,Bakı,2024-12-14 00:19:00
4820956,True,False,True,Agentlik,290000,Həzi Aslanov m.,3,120.0,19,20,Bakı,2024-12-14 00:19:00
4836594,True,True,True,default,385000,Azadlıq Prospekti m.,3,158.0,14,16,Bakı,2024-12-14 00:18:00
4724216,True,False,True,default,210000,Elmlər Akademiyası m.,3,73.0,5,18,Bakı,2024-12-14 00:18:00
4836593,True,True,True,default,250000,Badamdar q.,3,102.0,6,16,Bakı,2024-12-14 00:17:00
4707501,True,True,True,default,135000,Həzi Aslanov m.,2,60.0,8,9,Bakı,2024-12-14 00:17:00
4687209,True,False,True,default,136000,Azadlıq Prospekti m.,2,42.0,3,19,Bakı,2024-12-14 00:16:00
4836589,False,False,False,default,380000,28 May m.,4,200.0,16,21,Bakı,2024-12-14 00:13:00
4700926,True,False,True,default,270000,Xalqlar Dostluğu m.,3,112.0,2,12,Bakı,2024-12-14 00:12:00
4821872,True,True,True,default,145000,Xalqlar Dostluğu m.,3,85.0,5,9,Bakı,2024-12-14 00:11:00
4831296,True,True,True,default,135000,Əhmədli m.,2,58.0,6,9,Bakı,2024-12-14 00:11:00
4821754,True,True,True,default,180000,Bakıxanov q.,5,120.0,3,9,Bakı,2024-12-14 00:10:00
4768540,True,False,True,default,254000,Nəriman Nərimanov m.,4,110.0,6,9,Bakı,2024-12-14 00:08:00
4001146,True,False,True,default,550000,28 May m.,4,185.0,2,3,Bakı,2024-12-14 00:08:00
4823845,True,False,True,default,152000,Azadlıq Prospekti m.,2,45.0,5,9,Bakı,2024-12-14 00:07:00
4759200,True,False,False,default,520000,Ağ şəhər q.,3,109.0,5,7,Bakı,2024-12-14 00:07:00
4713318,True,False,True,default,195000,Azadlıq Prospekti m.,3,82.0,5,9,Bakı,2024-12-14 00:06:00
4829436,True,True,True,Agentlik,163000,İnşaatçılar m.,3,90.0,6,9,Bakı,2024-12-14 00:06:00
4836586,True,False,True,default,308000,Qara Qarayev m.,4,130.0,2,17,Bakı,2024-12-14 00:15:00
4614504,True,False,True,default,260000,Həzi Aslanov m.,3,133.0,9,16,Bakı,2024-12-14 00:05:00
4795114,False,False,True,default,355000,28 May m.,3,108.0,10,15,Bakı,2024-12-14 00:19:00
4828732,True,False,True,default,225000,Nəriman Nərimanov m.,2,46.0,9,16,Bakı,2024-12-14 00:05:00
4714571,True,False,True,default,690000,Nəsimi r.,4,205.0,13,19,Bakı,2024-12-14 00:03:00
4638710,True,False,True,Agentlik,330000,Nəriman Nərimanov m.,3,105.0,10,16,Bakı,2024-12-14 00:01:00
4829729,False,False,False,default,275000,Şah İsmayıl Xətai m.,3,156.0,23,24,Bakı,2024-12-14 00:00:00
4836581,True,False,True,default,130000,Azadlıq Prospekti m.,2,50.0,2,17,Bakı,2024-12-14 23:59:00
4836580,True,False,True,default,70000,Masazır q.,2,54.0,5,6,Bakı,2024-12-14 23:59:00
4800064,True,False,True,default,270000,Nəriman Nərimanov m.,4,154.0,5,18,Bakı,2024-12-14 23:59:00
